@@,name,position
---,Wan Azizah Wan Ismail,Timbalan Perdana Menteri Malaysia
---,Mohd Redzuan Md Yusof,Menteri di Jabatan Perdana Menteri Malaysia
---,,Menteri Belia dan Sukan Malaysia
+++,YB TUAN KHAIRY JAMALUDDIN ABU BAKAR,Menteri Kesihatan
+++,YB TAN SRI NOH BIN HJ. OMAR,Menteri Pembangunan Usahawan dan Koperasi
+++,YB TAN SRI DATUK SERI PANGLIMA TPr. HAJI ANNUAR BIN HAJI MUSA,Menteri Komunikasi dan Multimedia
+++,YB SENATOR DATUK DR. MOHD RADZI BIN MD JIDIN,Menteri Kanan Pendidikan
+++,YB DATUK SERI TAKIYUDDIN BIN HASSAN,Menteri Tenaga dan Sumber Asli
+++,YB DATUK SERI SARAVANAN A/L MURUGAN,Menteri Sumber Manusia
+++,YB DATUK SERI RINA BINTI MOHD HARUN,"Menteri Pembangunan Wanita, Keluarga dan Masyarakat"
+++,YB DATUK SERI IR. DR. WEE KA SIONG,Menteri Pengangkutan
+++,YB DATUK SERI DR. RONALD KIANDEE,Menteri Pertanian dan Industri Makanan
+++,YB DATUK SERI DR. NORAINI BINTI AHMAD,Menteri Pengajian Tinggi
+++,YB DATUK HALIMAH BINTI MOHD SADIQUE,Menteri Perpaduan Negara
+++,YB DATUK HAJAH ZURAIDA BINTI KAMARUDDIN,Menteri Perusahaan Perladangan dan Komoditi
+++,YB DATUK DR. HJ ABD LATIFF BIN AHMAD,Menteri di Jabatan Perdana Menteri (Tugas-Tugas Khas)
+++,YB DATO' SRI TUAN IBRAHIM BIN TUAN MAN,Menteri Alam Sekitar Dan Air
+++,YB DATO' SRI REEZAL MERICAN BIN NAINA MERICAN,Menteri Perumahan dan Kerajaan Tempatan
+++,YB DATO' SRI MUSTAPA BIN MOHAMED,Menteri di Jabatan Perdana Menteri (Ekonomi)
+++,YB DATO' SRI HAJI FADILLAH BIN HAJI YUSOF,Menteri Kanan Kerja Raya
+++,YB DATO' SRI HAJAH NANCY BINTI SHUKRI,"Menteri Pelancongan, Seni dan Budaya"
+++,YB DATO' SRI DR. ADHAM BIN BABA,"Menteri Sains, Teknologi dan Inovasi"
+++,YB DATO' SERI MAHDZIR BIN KHALID,Menteri Pembangunan Luar Bandar
+++,YB DATO' SERI HAMZAH BIN ZAINUDIN,Menteri Dalam Negeri
+++,YB DATO' SERI DR. SHAHIDAN BIN KASSIM,Menteri Wilayah Persekutuan
+++,YB DATO' SERI AHMAD FAIZAL BIN AZUMU,Menteri Belia dan Sukan
+++,YB DATO' SAIFUDDIN BIN ABDULLAH,Menteri Luar Negeri
+++,YB DATO SRI ALEXANDER NANTA LINGGI,Menteri Perdagangan Dalam Negeri dan Hal Ehwal Pengguna
