position,title
Q110793540,ambassador to Bosnia and Herzegovina
Q110772012,ambassador to the Czech Republic
Q30621735,ambassador to France
Q30621748,ambassador to Japan
Q110793350,ambassador to Jordan
Q110777729,ambassador to the Netherlands
Q30621692,ambassador to the People's Republic of China
Q91934966,ambassador to Ireland
Q4205657,Yang di-Pertua Negeri of Sarawak
Q6566938,Premier of Sarawak
Q111197163,Deputy Premier of Sarawak
Q6589943,Menteri Besar of Kelantan
Q105598301,Menteri Besar of Terengganu
Q6589950,Menteris Besar of Selangor
